Country,Traffic_type,2008,2008Q1,2008Q2,2009,2009Q1,2009Q2,2010,2010Q1,2010Q2,2011,2011Q1,2011Q2,2012,2012Q1,2012Q2,2013,2013Q1,2013Q2,2014,2014Q1,2014Q2,2015,2015Q1,2015Q2,2016,2016Q1,2016Q2,2017,2017Q1,2017Q2,2018,2018Q1,2018Q2,2019,2019Q1,2019Q2,2020Q1,2020Q2
Iceland,passengers,2240998,408261.0,599771.0,1837165,315546.0,475014.0,2036356,298327.0,486535.0,2462894,341926.0,669391.0,2740691,381132.0,722169.0,3199266,482895.0,839908.0,3853614,588761.0,1016572.0,4847288,741742.0,1264423.0,6801814,1013990.0,1675674.0,8318734,1559720.0,1792668.0,10166386,1865049.0,2668067.0,7584197,1706793.0,1928227.0,1041589.0,61165.0
Ireland,Cargo,126855,0.0,0.0,112049,0.0,0.0,122266,0.0,0.0,113409,0.0,0.0,126834,0.0,0.0,127423,0.0,0.0,138203,0.0,0.0,148714,0.0,0.0,145769,0.0,0.0,163123,0.0,0.0,156265,0.0,0.0,144141,0.0,0.0,0.0,0.0
Ireland,passengers,30018287,6492163.0,8035825.0,26268887,5785773.0,7081115.0,23094210,4901463.0,5726992.0,23362889,4659780.0,6440132.0,23594089,4533640.0,6453702.0,24603640,4659859.0,6728235.0,26310826,4792988.0,7258737.0,29545020,5525659.0,8051041.0,32595709,6388425.0,8771013.0,34271771,6647077.0,9319197.0,36345005,6900629.0,9984053.0,37947510,7414151.0,10450570.0,5901739.0,162981.0
Italy,Cargo,814995,0.0,0.0,705883,0.0,0.0,838724,0.0,0.0,846551,0.0,0.0,790493,0.0,0.0,826981,0.0,0.0,876495,0.0,0.0,916755,0.0,0.0,991688,0.0,0.0,1077874,0.0,0.0,1066221,0.0,0.0,1023952,0.0,0.0,0.0,0.0
Italy,passengers,105216903,22494468.0,28355773.0,101823772,19376499.0,27391697.0,109064953,21163259.0,27915855.0,116226667,22728052.0,30917236.0,116029388,22442020.0,31480474.0,115279105,21619550.0,31395496.0,121164587,22142391.0,32950553.0,127665221,23787912.0,34510511.0,134477781,25539478.0,35618996.0,144306325,27123163.0,38858554.0,153352444,28884571.0,41316099.0,160620882,30772070.0,43514610.0,20990685.0,934140.0
Latvia,Cargo,6884,0.0,0.0,8646,0.0,0.0,11268,0.0,0.0,11571,0.0,0.0,31460,0.0,0.0,52473,0.0,0.0,31439,0.0,0.0,16809,0.0,0.0,17922,0.0,0.0,21204,0.0,0.0,24628,0.0,0.0,25866,0.0,0.0,0.0,0.0
Latvia,passengers,3687329,720505.0,937321.0,4062704,755425.0,1062783.0,4655898,911697.0,1178604.0,5098360,937852.0,1444068.0,4754530,947871.0,1289875.0,4782257,946858.0,1319235.0,4802282,915899.0,1309275.0,5145856,983496.0,1386233.0,5384160,1101538.0,1416560.0,6077854,1130605.0,1604947.0,7037070,1349638.0,1886549.0,7785726,1428265.0,2123224.0,1247672.0,0.0
Lithuania,Cargo,9049,0.0,0.0,6465,0.0,0.0,9762,0.0,0.0,10011,0.0,0.0,14342,0.0,0.0,15857,0.0,0.0,13210,0.0,0.0,14904,0.0,0.0,14245,0.0,0.0,15064,0.0,0.0,16779,0.0,0.0,17211,0.0,0.0,0.0,0.0
Lithuania,passengers,2552074,523016.0,716656.0,1867191,367825.0,475361.0,2282834,429741.0,597011.0,2691991,482186.0,721675.0,3166628,624671.0,857026.0,3482358,624425.0,938518.0,3798110,662138.0,1079372.0,4227389,781981.0,1146456.0,4787561,913867.0,1297264.0,5246101,1063644.0,1487333.0,6254178,1235223.0,1713430.0,6504685,1322107.0,1766222.0,1104646.0,48003.0
Luxembourg,Cargo,788218,0.0,0.0,627261,0.0,0.0,705829,0.0,0.0,666011,0.0,0.0,615286,0.0,0.0,673380,0.0,0.0,707150,0.0,0.0,736880,0.0,0.0,801058,0.0,0.0,892660,0.0,0.0,895004,0.0,0.0,853030,0.0,0.0,0.0,0.0
Luxembourg,passengers,1713217,354793.0,465872.0,1535261,285071.0,421381.0,1613696,306012.0,404875.0,1836780,386663.0,480237.0,1893991,354940.0,498496.0,2169327,393077.0,576579.0,2433966,450980.0,677126.0,2651751,468562.0,726240.0,2984242,574791.0,795341.0,3554730,652639.0,970099.0,3988804,775578.0,1089975.0,4365569,847540.0,1185171.0,713491.0,37270.0
Malta,Cargo,18222,0.0,0.0,17496,0.0,0.0,16882,0.0,0.0,16204,0.0,0.0,16493,0.0,0.0,16028,0.0,0.0,15602,0.0,0.0,16405,0.0,0.0,15690,0.0,0.0,16194,0.0,0.0,17677,0.0,0.0,12210,0.0,0.0,0.0,0.0
Malta,passengers,3109899,539195.0,866556.0,2918676,461711.0,790271.0,3293548,502735.0,878080.0,3506814,584997.0,971334.0,3650347,557812.0,1023928.0,4032029,605605.0,1121630.0,4290032,656092.0,1203367.0,4619557,693746.0,1294534.0,5080446,800728.0,1382715.0,6007731,977434.0,1656887.0,6805817,1172266.0,1897319.0,7318357,1203104.0,2051858.0,1010292.0,0.0
Montenegro,Cargo,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,898,0.0,0.0,869,0.0,0.0,915,0.0,0.0,872,0.0,0.0,0.0,0.0
Montenegro,passengers,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1845464,176913.0,448814.0,2173494,201149.0,569746.0,2440486,239107.0,648379.0,2652801,256332.0,713747.0,0.0,0.0
Netherlands,Cargo,1648522,0.0,0.0,1371235,0.0,0.0,1600381,0.0,0.0,1614895,0.0,0.0,1563500,0.0,0.0,1620038,0.0,0.0,1727455,0.0,0.0,1712031,0.0,0.0,1831792,0.0,0.0,1865106,0.0,0.0,1854272,0.0,0.0,1703662,0.0,0.0,0.0,0.0
Netherlands,passengers,50419501,10708562.0,13570417.0,46479327,9360200.0,12197965.0,48618879,9868051.0,12109285.0,53895292,10646502.0,14330782.0,55680209,11412219.0,14682538.0,58077271,11582302.0,15632397.0,60963003,12203867.0,16344582.0,64570938,12700642.0,17351242.0,70317995,14254686.0,18459383.0,76240304,15537224.0,20428951.0,79644067,16807162.0,21237032.0,81186862,17125377.0,21799985.0,13652736.0,881756.0
North Macedonia,Cargo,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2647,0.0,0.0,2939,0.0,0.0,2820,0.0,0.0,3298,0.0,0.0,3407,0.0,0.0,0.0,0.0
North Macedonia,passengers,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1452373,263811.0,344908.0,1649374,331943.0,425907.0,1861282,352953.0,449668.0,2152746,430197.0,543526.0,2353327,454107.0,602715.0,383117.0,2738.0
Norway,Cargo,3516,0.0,0.0,51357,0.0,0.0,49414,0.0,0.0,65742,0.0,0.0,78420,0.0,0.0,106722,0.0,0.0,116390,0.0,0.0,127698,0.0,0.0,127745,0.0,0.0,169295,0.0,0.0,174840,0.0,0.0,187379,0.0,0.0,0.0,0.0
Norway,passengers,27717155,6224555.0,7546023.0,27675619,5948010.0,7252928.0,29518449,6363298.0,7223438.0,32403522,6816599.0,8561175.0,34592225,7461827.0,8960805.0,36686364,7622626.0,9730134.0,37603195,7992074.0,10104678.0,37503052,7913268.0,9960473.0,37727546,8135822.0,9946204.0,38739778,8280992.0,10192056.0,40030105,8494892.0,10560358.0,40348437,8739166.0,10534036.0,6974917.0,1085558.0
Poland,Cargo,58148,0.0,0.0,53510,0.0,0.0,61238,0.0,0.0,68485,0.0,0.0,74831,0.0,0.0,77560,0.0,0.0,84386,0.0,0.0,92690,0.0,0.0,1307600,0.0,0.0,121303,0.0,0.0,134673,0.0,0.0,143482,0.0,0.0,0.0,0.0
Poland,passengers,18727365,3873259.0,5023742.0,17046899,3272989.0,4450558.0,18383115,3487172.0,4684285.0,20635672,3778308.0,5443581.0,21800765,4100796.0,6214041.0,23274484,4324132.0,6344022.0,25714422,4647266.0,6802900.0,28907439,5378218.0,7746048.0,32266861,6109910.0,8408718.0,37684668,7093040.0,9726567.0,43767548,8307950.0,11525824.0,46899765,8902170.0,12403521.0,0.0,0.0
Portugal,Cargo,136364,0.0,0.0,125501,0.0,0.0,137131,0.0,0.0,121465,0.0,0.0,117645,0.0,0.0,126612,0.0,0.0,134982,0.0,0.0,133416,0.0,0.0,136578,0.0,0.0,164732,0.0,0.0,173493,0.0,0.0,194214,0.0,0.0,0.0,0.0
Portugal,passengers,25182901,4972993.0,6731198.0,24116313,4363354.0,6511490.0,25735500,4678067.0,6572285.0,27579707,4937191.0,7615028.0,28186254,5063022.0,7656281.0,29694146,5196992.0,8061890.0,32560621,5536270.0,8984491.0,36005814,6348618.0,9838162.0,40930044,7120090.0,10880692.0,47673057,8429359.0,13167080.0,51018598,9483974.0,14107473.0,55007894,10105791.0,15368892.0,8686233.0,0.0
Romania,Cargo,24431,0.0,0.0,23482,0.0,0.0,24512,0.0,0.0,26156,0.0,0.0,28523,0.0,0.0,30605,0.0,0.0,31113,0.0,0.0,33399,0.0,0.0,37456,0.0,0.0,41692,0.0,0.0,45310,0.0,0.0,44217,0.0,0.0,0.0,0.0
Romania,passengers,8031267,1552905.0,2112469.0,7984057,1556028.0,2023598.0,8848949,1776657.0,2199674.0,9687456,1920102.0,2576665.0,9674226,1883975.0,2576527.0,10016933,1947744.0,2630779.0,10907487,2033459.0,2834930.0,12580711,2427799.0,3279030.0,15153719,2878838.0,3776837.0,17934774,3593197.0,4637711.0,19809642,3924501.0,5062922.0,21546204,4309952.0,5572860.0,3585028.0,0.0
